Player,Team,DYAR,Rk,YAR,Rk.1,DVOA,Rk.2,VOA,Passes,Yards,EYds,TD,Catch  Rate,FUM
C.McCaffrey,CAR,386,1,351,2,34.8%,4,30.4%,142,1005,1365,4,82%,0
A.Ekeler,LAC,320,2,359,1,38.8%,3,45.1%,108,993,1093,8,85%,2
M.Ingram,BAL,145,3,153,4,74.6%,1,79.1%,29,247,418,5,90%,0
D.Cook,MIN,144,4,138,5,29.2%,5,27.5%,63,519,535,0,84%,1
J.White,NE,142,5,179,3,14.8%,14,22.4%,95,645,647,5,76%,0
Du.Johnson,HOU,125,6,114,7,24.6%,9,21.5%,62,410,481,3,71%,0
M.Sanders,PHI,121,7,134,6,20.0%,12,23.7%,63,509,504,3,79%,0
Da.Johnson,ARI,114,8,111,8,29.2%,6,28.0%,47,370,426,4,77%,1
J.Williams,GB,103,9,103,10,27.4%,8,27.5%,45,253,391,5,87%,0
E.Elliott,DAL,99,10,87,12,12.6%,16,9.3%,71,420,474,2,76%,0
K.Juszczyk,SF,98,11,108,9,47.6%,2,53.5%,24,239,317,1,83%,0
J.Mixon,CIN,86,12,80,13,19.3%,13,17.2%,45,287,363,3,78%,0
A.Kamara,NO,83,13,44,22,1.6%,23,-5.7%,97,533,558,1,84%,1
J.Conner,PIT,75,14,93,11,21.2%,10,29.8%,38,251,308,3,89%,0
D.Washington,OAK,74,15,76,15,21.1%,11,22.3%,41,292,303,0,88%,0
K.Hunt,CLE,71,16,80,14,14.2%,15,18.1%,44,285,325,1,84%,0
B.Scott,PHI,67,17,62,16,29.0%,7,25.9%,26,204,250,0,92%,1
C.Carson,SEA,57,18,39,23,8.9%,18,1.6%,47,266,295,2,79%,1
D.Freeman,ATL,51,19,55,18,-0.9%,25,0.1%,70,410,388,4,84%,1
R.Jones,TB,47,20,58,17,9.2%,17,14.5%,40,309,242,0,78%,1
J.Richard,OAK,39,21,54,19,2.7%,22,8.6%,43,323,252,0,84%,1
P.Laird,MIA,39,22,51,21,8.6%,19,15.4%,30,204,205,0,77%,0
R.Burkhead,NE,37,23,27,28,4.0%,21,-0.8%,38,279,227,0,71%,1
A.Jones,GB,35,24,54,20,-5.1%,29,-0.5%,68,474,359,3,72%,1
C.Thompson,WAS,34,25,20,31,-2.1%,26,-7.0%,58,378,280,0,72%,1
D.Ogunbowale,TB,31,26,16,32,-2.9%,27,-8.3%,46,286,267,0,76%,1
J.Jacobs,OAK,28,27,31,26,4.6%,20,6.6%,27,166,166,0,74%,0
Dam.Williams,KC,24,28,34,24,-3.7%,28,0.7%,37,213,216,2,81%,0
K.Drake,2TM,23,29,-25,43,-7.9%,33,-20.1%,68,345,331,0,74%,0
T.Coleman,SF,23,30,28,27,0.0%,24,2.7%,30,180,168,1,70%,0
M.Gordon,LAC,19,31,15,34,-7.3%,32,-8.8%,55,296,246,1,76%,1
L.Murray,NO,19,32,24,29,-5.6%,31,-3.4%,43,235,202,1,79%,0
J.Samuels,PIT,17,33,23,30,-8.9%,35,-7.2%,57,305,288,1,82%,1
D.Montgomery,CHI,15,34,8,36,-5.5%,30,-9.3%,35,185,164,1,71%,0
J.D.McKissic,DET,12,35,-2,39,-8.2%,34,-14.6%,42,233,176,1,81%,0
R.Freeman,DEN,10,36,15,33,-10.1%,36,-8.3%,50,256,208,1,86%,0
C.J.Ham,MIN,6,37,2,37,-10.1%,37,-12.5%,26,149,134,1,65%,0
D.Lewis,TEN,3,38,-8,40,-11.9%,38,-19.0%,32,164,115,1,78%,0
L.Bell,NYJ,3,39,32,25,-13.2%,39,-6.5%,78,461,315,1,85%,1
T.Gurley,LAR,0,40,-20,42,-13.8%,40,-21.0%,49,207,197,2,63%,0
N.Chubb,CLE,-4,41,10,35,-15.3%,41,-10.0%,49,278,174,0,73%,1
L.Fournette,JAX,-17,42,-28,45,-17.0%,42,-19.1%,101,524,349,0,76%,1
N.Hines,IND,-24,43,-1,38,-21.5%,44,-14.2%,58,320,174,0,76%,1
L.McCoy,KC,-34,44,-15,41,-32.2%,46,-22.0%,35,181,63,1,82%,1
T.Cohen,CHI,-36,45,-51,46,-20.1%,43,-22.7%,104,456,337,3,76%,1
S.Barkley,NYG,-37,46,-25,44,-22.8%,45,-19.9%,73,438,218,2,71%,1
T.Johnson,DET,-45,47,-60,50,-40.2%,50,-48.8%,31,109,29,0,77%,1
D.Singletary,BUF,-47,48,-53,47,-35.2%,47,-37.7%,41,194,61,2,71%,0
G.Bernard,CIN,-55,49,-58,49,-38.5%,48,-40.0%,43,234,46,0,70%,2
P.Lindsay,DEN,-69,50,-57,48,-39.7%,49,-35.0%,48,196,48,0,73%,0
